timestamp,rv_ratio,iv_ratio,full_score,rv_only_score,delta_volatility_score,full_width,rv_only_width,delta_grid_width,full_mode,rv_only_mode,full_volatility_state,rv_only_volatility_state,delta_capital,full_capital,rv_only_capital,delta_level_count,full_level_count,rv_only_level_count
2026-08-24T05:11:53.007Z,0.5868869706342187,1.0028554123042313,0.6908790810517218,0.5868869706342187,0.10399211041750311,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:11:58.010Z,0.7158324710310535,1.0028554123042313,0.787588206349348,0.7158324710310535,0.07175573531829449,0.00787588206349348,0.0075,0.00037588206349348056,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:12:03.020Z,0.9251026980376299,1.0028554123042313,0.9445408766042802,0.9251026980376299,0.01943817856665031,0.009445408766042803,0.009251026980376298,0.0001943817856665045,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:12:08.012Z,0.9988281481588148,1.0027039889244613,0.9997971083502265,0.9988281481588149,0.000968960191411572,0.009997971083502265,0.00998828148158815,9.689601914115997e-06,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:12:13.014Z,1.020013847462481,1.0024007786309073,1.0156105802545874,1.020013847462481,-0.004403267207893524,0.010156105802545874,0.01020013847462481,-4.403267207893531e-05,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:12:18.016Z,1.0292801932885831,1.0024007786309073,1.022560339624164,1.0292801932885831,-0.006719853664419073,0.01022560339624164,0.010292801932885832,-6.719853664419184e-05,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:12:23.017Z,1.030643951494281,1.0024007786309073,1.0235831582784374,1.030643951494281,-0.007060793215843519,0.010235831582784374,0.01030643951494281,-7.060793215843582e-05,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:12:28.018Z,1.0335482039305073,1.000854331134422,1.025374735731486,1.0335482039305073,-0.008173468199021316,0.01025374735731486,0.010335482039305073,-8.173468199021254e-05,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:12:33.019Z,1.1717449574334053,0.9991566108732322,1.128597870793362,1.1717449574334053,-0.04314708664004341,0.01128597870793362,0.011717449574334054,-0.0004314708664004338,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:12:38.021Z,1.2277626959632668,0.9991566108732322,1.1706111746907581,1.2277626959632668,-0.057151521272508665,0.011706111746907581,0.012277626959632668,-0.0005715152127250874,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
